13|Florida, This State I'm In|20673_721295|721295|Daniel V. Gribbin|Daniel V. Gribbin|Alex Budzilek|Daniel V. Gribbin||Anhinga Harmonics|A celebration of Florida from the swamps to the tops of its cypress trees.|The speaker in the song seems to be firmly entrenched in Florida, to the point of poking a bit of fun at some other places.  He's aware of what some people might call disadvantages to living in Florida, but those are the things that he relishes.|Sometimes its fun to celebrate your state for what some people might regard as its disadvantages--like alligators and snakes.|3:48|Folk-Americana|Country-General|Medium Slow (91 - 110)|Male Vocal|Happiness|State|Joyful|Affable|English|2000 and laterJames Taylor|
14|Oleander Morning|20673_610470||Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Anhinga Harmonics|The speaker must travel far and wide to conduct business, but his heart is in Florida with his wife.|A series of images of Florida establishes the foundation for the speaker's eagerness to get back home to his wife and their wonderful life among the oleanders and the shore birds.|A short separation from my wife yielded feelings of anticipation of returning to her in Florida.|2:49|Folk-Contemporary|Folk-Americana|Slow (71 - 90)|Male Vocal|Encouragement||Cheerful||English|James Taylor|
15|Lily of Bermuda|20673_397583|397583|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics||||3:07|Folk-General|-|Medium Slow (91 - 110)|Male Vocal||||||
16|The Sidekick Song|20673_244289|244289|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|||||3:28|Folk-General|Pop-General|Medium (111 - 130)|Male Vocal||||||
17|Dial It Back with the Buddha|20673_610461|610461|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Anhinga Harmonics|The song suggests that Buddhist practice offers welcome respite from the pace of modern life.|On the one hand, the song praises Buddhist practice for injecting calm into a hectic pace.  On the other hand, there is a hint of spoof in the way Buddhism is treated in the song.  So it's a light-hearted consideration of the peaceful benefits of Buddhist practice.|This is what comes of being married to a woman who dabbles in Buddhist practice.|4:42|New Age-Progressive|Folk-Contemporary|Medium Slow (91 - 110)|Male Vocal|Philosophy|Imagination|Relaxed|Welcoming|English|Simon & Garfunkel|
18|Peppermint Roses|20673_513190|513190|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|||||3:01|Pop-General|Folk-Contemporary|Slow (71 - 90)|Male Vocal|Falling in Love||Relaxed|||
19|Dance Me Silly|20673_610460|610460|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Anhinga Harmonics|A man who has remained free of material baggage celebrates the freedom that he has been able to maintain.|The speaker in the song seems vaguely reminiscent of the character in e. e. cummings' poem "anyone lived in a pretty how town," a character who "sang his didn't and danced his did."  Only this character could never be confined to a town.|The song is a kind of modern sequel to the traditional Irish tune "Little Beggarman."  I wrote it on the plane as we flew to Paris, so I guess I was within shouting distance of Ireland at some point in the flight.  |3:31|Folk-Contemporary|Folk-Cajun|Medium Slow (91 - 110)|Male Vocal|Life|Freedom|Joyful|Affable|English|Cat Stevens|
20|My Louisiana Heron|20673_601536|601536|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics Music|Fun fantasy about a music-loving bird||The song imagines the bird as a denizen of the French quarter who is a devoté of the music of New Orleans and Louisiana.|3:40|Blues-Modern|Blues-General|Medium Fast (131 - 150)|Male Vocal|City|Energy|Cheerful|Welcoming|English|2000 and laterDr. John|
21|Erin at the Window|20673_601537|601537|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics Music|A father who has lost his daughter reveals how he is coping.||The song is a tribute to courageous parents who regain their balance after losing a child.|4:08|Folk-Traditional|Folk-Americana||Male Vocal|Change|Spirituality|Moving|Poignant|English|James Taylor|Joni Mitchell|
22|There'll Come a Time|20673_389862|389862|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics||||2:46|Folk-Traditional|-|Medium Slow (91 - 110)|Male Vocal||||||
23|We're Sandhill Cranes|20673_434447|434447|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics||||2:46|Folk-General|-|Medium Fast (131 - 150)|Male Vocal|Birds||Jovial|||
24|Bad Cholesterol|20673_247782|247782|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics Music||||3:58|Blues-General|-|Medium Slow (91 - 110)|||||||
25|Spirit Runnin' Through|20673_200030|200030|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics Music||||3:19|Folk-General|-|Medium Slow (91 - 110)|||||||
26|You'll Come|20673_391047|391047|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin/Rebecca Zapen|Anhinga Harmonics| Story of a love interrupted by unforeseen events.|||3:00|Folk-Contemporary|-|Medium Slow (91 - 110)|Female Vocal|Unrequited Love||Poignant|Composed||Norah Jones|
27|You'll Come (Instr)|20673_389422|389422| |Dan Gribbin|Dan Gribbin|Dan Gribbin| | ||||3:31|Folk-Contemporary|-|Medium Slow (91 - 110)|||||||
28|Awakening (chorus)|20673_439083||Dan Gribbin/Thich Nhat Hanh|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics|Adapted from Thich Nhat Hanh's beautiful declaration of personal peace:  I have arrived.  I am home.|This is the chorus to my song "Awakening"|After participating in a retreat with Thich Nhat Hanh in the summer of 2007, I wanted to write a song which incorporates his peaceful message in its chorus.|1:04|Folk-General|-|Slow (71 - 90)|Male Vocal|||Peaceful|||
29|Devil Take the Hindmost|20673_525238|||Dan Gribbin|Dan Gribbin|Dan Gribbin|||Instrumental version of a spritely song about running free in an upland meadow.||Written to honor the Blue Ridge foothills where I lived for almost thirty years.|2:43|Folk-Contemporary|Country-Boogie|Medium Slow (91 - 110)|Instrumental|||Cheerful|||
30|At the Aquarium|20673_434183|434183|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics||||2:42|Folk-General|-|Medium Slow (91 - 110)|Male Vocal|Birds||Cheerful|||
31|The Moon and a Few|20673_499518|||Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin||Instrumental version of my song "The Moon and a Few High Clouds."|||2:03|Folk-Traditional|-|Medium Slow (91 - 110)||||Peaceful|||
32|Little Blue|20673_434536||Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics||||2:50|Folk-General|-|Medium Slow (91 - 110)|Male Vocal|Birds||Cheerful|||
33|Love Is Gonna Be Our Dance|20673_435394|435394|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics||||4:08|Folk-General|-|Medium Slow (91 - 110)|Male Vocal|||Joyful|||
34|Looked for You|20673_242910|242910|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin & Martha Brandt| ||||3:49|Folk-General|-|Medium Slow (91 - 110)|||||||
35|Morning for Martha|20673_374889|374889|Daniel V. Gribbin|Daniel V. Gribbin|Daniel V. Gribbin|Daniel V. Gribbin| | ||||2:55|Folk-General|Pop-Easy Listening|Slow (71 - 90)|Male Vocal|Spirituality||Serene|||
36|Lickin' My Jelly Knife|20673_245869|245869|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics Music||Fun song about a fellow whose luck with women runs poor until he meets one who's a little rough around the edges.||2:39|Country-General|-|Medium Slow (91 - 110)|Male Vocal|||Pleased|||
37|The Moon and a Few High Clouds|20673_398173||Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics| A young man pines for his lady love.| Her parents have sent her away so she'll forget him.  It sounds as if she might be anticipating a reunion upon their return, however.||2:05|Folk-Contemporary|Folk-General|Medium Slow (91 - 110)|Male Vocal|Loneliness|||||Jack Johnson|
38|The Devil Take the Hindmost|20673_390496||Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics||||2:42|Folk-Traditional|-|Medium Slow (91 - 110)|||||||
39|Nothin' Doin'|20673_246662|246662|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics Music||||3:12|Blues-General|-|Slow (71 - 90)|Male Vocal||||||
40|The Ibis|20673_148595||Dan Gribbin|Dan Gribbin|Bob Rafkin|Dan Gribbin|Dan Gribbin|Dan Gribbin|A song about a funny, endearing bird.|||3:38|Folk-General|-|Medium Slow (91 - 110)|||||||
41|9 Wood Storks|20673_282184||Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics||||2:25|Folk-General|-|Slow (71 - 90)|||||||
42|We've Come to Privatize|20673_148035||Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics Music|A folk music protest song of the old school.|||3:06|Folk-General|-|Medium Slow (91 - 110)|||||||
43|Lemme Be Your Kingfisher|20673_148599||Dan Gribbin|Dan Gribbin|Bob Rafkin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Love song with a nod toward an admired bird.|||3:35|Folk-General|-|Medium Slow (91 - 110)|||||||
44|Palm Tree Forest|20673_449855|449855|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics||||3:50|Folk-Traditional|Folk-Contemporary|Slow (71 - 90)|Male Vocal|Plants, Forest|Father|Welcoming|||
45|Awakening|20673_598028|598028|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin||The song is an inducement to awaken to the beauty and the challenge of life.  It pays homage, indirectly in its lyrics, to three heroes of the movement to awaken our potential:  Henry David Thoreau, Walt Whitman, and Thich Nhat Hanh.|||4:44|New Age-Contemporary|-|Medium Slow (91 - 110)|Male Vocal|Spirituality|Spirituality|||English|
46|Are You Mindful?|20673_434827|434827|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Dan Gribbin|Anhinga Harmonics|A song inspired by the concept of mindfulness as practiced by Thich Nhat Hanh.|||3:52|Folk-General|-|Medium Slow (91 - 110)|Male Vocal|Spirituality||Composed|||
47|Sunday Street|20673_496143||Dave Van Ronk/Dan Gribbin|Dave Van Ronk|Dan Gribbin||||||A little known Van Ronk classic, touched up slightly in the lyrics and arranged to show off a few nice blues licks.|4:44|Blues-Delta|-|Slow (71 - 90)|Male Vocal||||||
